calldescription2,type,freq,prop_time,prop_count
ANIMAL INCIDENT,community,4621,1.3719999999999999,1.7856
LOST PROPERTY,community,791,0.4698,0.30560000000000004
MISSING OR FOUND PERSON,community,3664,2.1431999999999998,1.4158
OTHER,community,4310,0.6075,1.6655
SCHOOL CROSSING,community,1080,0.4624,0.41729999999999995
ARMED ROBBERY,crime,1556,1.0915,0.6012
ARSON,crime,939,0.5503,0.3628
ASSAULT AND BATTERY,crime,15979,5.6667000000000005,6.1743
BREAK AND ENTER AUTO,crime,1032,0.4118,0.39880000000000004
BURGLARY,crime,14035,6.1613,5.4231
CHILD OR ADULT ABUSE,crime,1589,0.8536999999999999,0.614
DOMESTIC INCIDENT,crime,21018,10.8115,8.1214
FELONIOUS ASSAULT,crime,11086,5.9931,4.2836
FRAUD,crime,604,0.27090000000000003,0.23340000000000002
HIT AND RUN,crime,523,0.22560000000000002,0.20209999999999997
HOLDING PERSON,crime,618,0.4846,0.23879999999999998
KIDNAPPING,crime,1138,0.5546,0.4397
LARCENY,crime,4701,1.7557,1.8165
LEWD AND LASCIVIOUS CONDUCT,crime,1086,0.2672,0.41960000000000003
MALICIOUS DESTRUCTION,crime,4293,1.5276,1.6587999999999998
MOLESTATION,crime,278,0.2408,0.10740000000000001
"NARCOTICS",crime,1810,0.40819999999999995,0.6994
OTHER,crime,1417,0.4664,0.5476
PANIC ALARM,crime,7255,1.1256,2.8032999999999997
PERSON WITH WEAPON,crime,5872,1.9784,2.2689999999999997
PPO VIOLATION,crime,841,0.3729,0.325
RAPE,crime,733,0.6586,0.2832
RECOVER AUTO,crime,3446,1.7940999999999998,1.3315000000000001
SHOOTING OR STABBING WOUND,crime,2473,3.3272000000000004,0.9556
SHOTS,crime,7341,2.9005,2.8366
UDAA,crime,2068,0.9301,0.7991
UNARMED ROBBERY,crime,1073,0.5716,0.4146
MENTAL HEALTH,health,6987,2.9274,2.6998
OTHER,health,10,0.0073,0.0039
OVERDOSE,health,5571,1.6918,2.1526
SUICIDE OR SUICIDE THREAT,health,3534,1.3431,1.3655
WELL BEING CHECK,health,3772,1.1332,1.4575
INVESTIGATE AUTO,proactive,1640,0.6547,0.6336999999999999
INVESTIGATE PERSON(S),proactive,12452,2.5972,4.8115
OTHER,proactive,778,0.3646,0.30069999999999997
SPECIAL ATTENTION,proactive,793,0.2758,0.3064
DEAD PERSON OBSERVED,quality of life,1752,2.1529,0.677
DISTURBANCE,quality of life,47901,11.264299999999999,18.509
FIRE,quality of life,380,0.24680000000000002,0.14679999999999999
OTHER,quality of life,1277,0.30269999999999997,0.4935
PARKING COMPLAINT,quality of life,3395,0.6931999999999999,1.3117999999999999
AUTO ACCIDENT,traffic,18429,12.6857,7.1209999999999996
HAZARDOUS CONDITIONS,traffic,472,0.266,0.1824
LICENCE REVOCATION,traffic,7915,1.5008000000000001,3.0584
MISC TRAFFIC,traffic,3997,0.8297000000000001,1.5444
OTHER,traffic,1337,0.35300000000000004,0.5166999999999999
ASSIST OTHER,unclassified,1722,0.6936,0.6654
MT EMS-ENTRY,unclassified,1134,0.3637,0.4382
MT EMS-TRO/ENTRY,unclassified,660,0.2055,0.255
ONE OVER THE WHEEL,unclassified,1411,0.5262,0.5452
OTHER,unclassified,2209,0.46499999999999997,0.8536
