calldescription2,type,freq,prop_time,prop_count
ANIMAL INCIDENT,community,4621,1.3719999999999999,1.7856
LOST PROPERTY,community,791,0.4698,0.30569999999999997
MISSING OR FOUND PERSON,community,3664,2.1433,1.4158
OTHER,community,4310,0.6076,1.6657
SCHOOL CROSSING,community,1080,0.4624,0.41729999999999995
ARMED ROBBERY,crime,1556,1.0916000000000001,0.6013000000000001
ARSON,crime,939,0.5504,0.3628
ASSAULT AND BATTERY,crime,15977,5.6668,6.1738
BREAK AND ENTER AUTO,crime,1032,0.4118,0.39880000000000004
BURGLARY,crime,14035,6.1615,5.4234
CHILD OR ADULT ABUSE,crime,1589,0.8536999999999999,0.614
DOMESTIC INCIDENT,crime,21017,10.8118,8.1214
FELONIOUS ASSAULT,crime,11085,5.992900000000001,4.2835
FRAUD,crime,604,0.27090000000000003,0.23340000000000002
HIT AND RUN,crime,523,0.22560000000000002,0.20209999999999997
HOLDING PERSON,crime,618,0.4846,0.23879999999999998
KIDNAPPING,crime,1138,0.5546,0.4397
LARCENY,crime,4701,1.7558,1.8166000000000002
LEWD AND LASCIVIOUS CONDUCT,crime,1086,0.2672,0.4197
MALICIOUS DESTRUCTION,crime,4293,1.5276,1.6589
MOLESTATION,crime,278,0.2408,0.10740000000000001
NARCOTICS,crime,1810,0.40819999999999995,0.6994
OTHER,crime,1417,0.46649999999999997,0.5476
PANIC ALARM,crime,7255,1.1257,2.8035
PERSON WITH WEAPON,crime,5872,1.9785000000000001,2.2691
PPO VIOLATION,crime,841,0.373,0.325
RAPE,crime,733,0.6587,0.2832
RECOVER AUTO,crime,3446,1.7942,1.3316
SHOOTING OR STABBING WOUND,crime,2473,3.3272999999999997,0.9556
SHOTS,crime,7341,2.9006,2.8367
UDAA,crime,2068,0.9301999999999999,0.7991
UNARMED ROBBERY,crime,1073,0.5717,0.4146
MENTAL HEALTH,health,6986,2.9273000000000002,2.6995
OTHER,health,10,0.0073,0.0039
OVERDOSE,health,5571,1.6918,2.1527000000000003
SUICIDE OR SUICIDE THREAT,health,3534,1.3432,1.3656
WELL BEING CHECK,health,3772,1.1333,1.4576
INVESTIGATE AUTO,proactive,1640,0.6547,0.6336999999999999
INVESTIGATE PERSON(S),proactive,12452,2.5973,4.8117
OTHER,proactive,778,0.3646,0.30069999999999997
SPECIAL ATTENTION,proactive,793,0.2758,0.3064
DEAD PERSON OBSERVED,quality of life,1752,2.153,0.677
DISTURBANCE,quality of life,47898,11.2644,18.5087
FIRE,quality of life,380,0.24680000000000002,0.14679999999999999
OTHER,quality of life,1277,0.30269999999999997,0.4935
PARKING COMPLAINT,quality of life,3395,0.6931999999999999,1.3119
AUTO ACCIDENT,traffic,18426,12.6836,7.1202000000000005
HAZARDOUS CONDITIONS,traffic,472,0.266,0.1824
LICENCE REVOCATION,traffic,7915,1.5009,3.0585
MISC TRAFFIC,traffic,3997,0.8297000000000001,1.5445
OTHER,traffic,1337,0.35300000000000004,0.5166999999999999
ASSIST OTHER,unclassified,1722,0.6936,0.6654
MT EMS-ENTRY,unclassified,1133,0.36350000000000005,0.43779999999999997
MT EMS-TRO/ENTRY,unclassified,660,0.2055,0.255
ONE OVER THE WHEEL,unclassified,1411,0.5262,0.5452
OTHER,unclassified,2209,0.46499999999999997,0.8536
